Gene.names	p-value	log2
MYO1F	0,005301019	13,28771238
NOP56	0,198827298	2,239868229
RBBP9	0,000936954	13,28771238
METAP1	0,000279021	4,001568697
AIMP1	0,042820768	2,213365008
TMEM30B	0,244426314	0,765838744
HOGA1	0,183099328	1,07986716
DENND2D	0,000750355	13,28771238
TXNRD2	0,104857528	1,312474867
CALML5	0,724294029	1,624823212
ACAD8	0,433333694	0,93282889
SLC16A4	0,05116157	1,984065917
ENTPD5	0,003471903	13,28771238
GP5	0,124425105	2,443350521
LRSAM1	0,665423373	0,153179968
SERPINI1	0,74181726	0,748926807
PLEKHA1	0,353201722	0,429253622
SPINK5	0,071248503	1,29337237
INPP5E	0,719021545	0,506966164
ANGPTL3	0,029741886	2,299674544
MAPK13	0,025668767	2,513370478
RPLP1	0,918815233	0,321409385
RAP1GAP	0,597403985	0,847489408
RPL23	0,000338065	3,312876589
CAMK2G	0,037603012	1,393257552
LARS2	0,969985156	0,451762547
HNRNPUL2	0,014288637	13,28771238
STK11IP	0,967366706	0,173636083
SPON2	0,774115771	0,21297615
COPS3	0,891315787	0,125676259
SBDS	0,138581412	0,564291398
IMPA2	0,031393994	2,157822877
CYB561	0,657448886	0,118877024
RPL24	5,37E-06	13,28771238
PRKCE	0,001730349	13,28771238
CUL2	0,026287645	1,079653316
CLINT1	0,109551455	2,772256788
PDE12	0,049340958	1,773722579
NAXD	0,28855212	0,568327904
NUP210	0,068364615	1,982400261
FGGY	0,224891875	1,48850499
HS6ST2	0,733252821	0,452692048
BCAS1	0,976371395	0,174728872
ERP29	0,789526112	0,451915631
RPL22	8,09E-05	13,28771238
CDH15	0,030401266	13,28771238
GRTP1	0,054438116	1,578270062
CDK5RAP3	0,025674061	2,428032053
CNN2	0,609247537	0,387155642
SIGMAR1	0,008841304	13,28771238
PLEKHF2	0,249019812	1,392187737
LANCL2	0,000150453	3,924324249
ATXN10	0,165431085	1,18962898
SLC37A4	0,665731719	0,133408686
NRDC	0,162024831	3,115298261
CCDC22	0,090705599	1,689263593
PMPCB	0,036548455	2,826642887
PSMD10	0,05923712	0,950346405
NEBL	0,51596049	0,065554103
TUBB4A	0,672499761	0,985728638
HS1BP3	0,397589093	0,492748828
TMC4	0,811228543	0,798567884
RAB23	0,469117863	0,390845579
CAPN6	0,205494085	1,037481272
SPTLC2	0,002919638	13,28771238
FLRT2	0,89074133	1,45961819
TIMM44	0,050454324	13,28771238
DDX5	0,416786037	13,28771238
GYS2	0,174768027	2,349226594
SKIV2L	0,128281114	1,447510177
PPP2R5E	0,0475936	2,970093218
C16orf62	0,766833315	0,012059558
SH3GL2	0,023082158	2,383200456
RDH14	0,28027267	0,900380069
SYTL2	0,670654275	0,039169272
MAN2C1	0,746056612	3,544487776
IL36A	0,010849505	0,691691354
PDHX	0,245141196	0,911823295
SKIL	0,007307495	13,28771238
S100P	0,067442258	1,625270392
GNL1	0,081539442	1,006572835
C1QBP	0,538794668	0,786371377
IDI1	0,047468714	1,658925755
PEA15	0,012784647	2,531068456
DHCR24	0,040787284	2,138597332
ECM29	0,164776008	1,394801889
HACD2	0,038888154	1,75408919
CADM4	0,098667855	13,28771238
NSFL1C	0,192966002	1,395898591
COL4A3BP	0,531409981	1,011115479
KRT82	0,529079608	0,450901407
VWA5A	0,566969598	0,643938333
AMPD3	0,183822831	3,076797546
DOCK2	0,198578897	13,28771238
PIGS	0,844261837	0,537029487
VTI1B	0,291390004	1,682215755
EXOC6B	0,343757473	2,581571469
EPN1	0,229854819	1,351876678
HNRNPR	0,465065157	0,493786602
AP1G2	0,000385995	13,28771238
PRNP	0,260941383	0,571146407
F7	0,904063126	0,798560688
SAA1	0,006511737	5,67901664
AXL	0,114158714	1,559802838
TP53I3	0,08996488	2,332639263
KTN1	0,302798511	2,777455861
NUP93	0,644028649	0,982657677
ZFYVE19	0,406486249	0,620102953
SLC30A2	0,008177032	13,28771238
UBA5	0,001308934	3,588345123
SDC1	0,228347243	1,875052248
MMP8	0,206918219	13,28771238
HLA-DMA	0,136205616	1,864945178
RPL28	0,04715028	1,415852453
SLC7A9	0,85591457	0,754022173
PKD1	0,007711278	13,28771238
ELOB	0,000113655	13,28771238
AGMAT	0,015898389	4,264891072
TOGARAM1	0,921648879	0,270130461
NRAS	0,222187781	0,99297854
MT-ND1	0,00316602	2,494506555
GALNT2	0,087742982	3,13139059
HNRNPA0	0,000303782	13,28771238
PRDX4	0,369674977	1,091428965
MFSD10	0,88569594	0,540892173
ELAVL1	0,400716977	0,43237508
WDR72	0,017864443	1,367178231
ENTPD8	0,614357721	0,021727375
NUP210L	0,157555503	13,28771238
EDC4	0,893498808	0,237603947
VPS13C	0,856160044	1,598601389
FAM177A1	0,525580421	0,072479732
HTATIP2	0,134018939	1,208960693
SLC6A13	0,216631327	0,755510257
ARFGEF2	0,163574035	1,659220815
WDR91	0,288856362	0,259646737
GGCT	0,792080115	0,62416401
MPDU1	0,000182618	13,28771238
FMNL1	0,101075189	13,28771238
RPS14	0,016473138	1,17827435
CC2D1B	0,07566167	1,290557881
TTC30A	0,057098446	1,595401307
NUP205	0,156314609	0,675355912
ELMO3	0,042333139	13,28771238
CPB2	0,360565977	2,04488048
KLC2	0,726495666	0,539785454
LGALS9	0,011156545	3,298984261
FCAR	0,978708708	1,100020816
ADH7	0,145325993	1,461562578
PI16	0,509159142	0,964111063
MON2	0,109941334	2,045229741
LILRB2	0,513628107	2,437011059
PITHD1	0,00188028	13,28771238
VPS16	0,666370359	0,812888376
CFL2	0,049619109	1,940824238
IGHV3-9	0,006734097	13,28771238
F13B	0,727862178	0,987571945
MGP	0,736782353	0,33357511
CTPS1	0,446751734	0,901973009
ITGB6	0,41814633	0,545996389
KIF23	0,787074691	0,220341581
NEDD8	0,005888048	13,28771238
NPNT	0,046886417	2,044069627
SYNE2	0,901980747	0,231261015
PTCD3	0,031683587	13,28771238
TMEM176A	0,003079747	13,28771238
SERINC2	0,000379868	13,28771238
TXNDC17	0,008889223	2,264103457
PDP1	0,003709317	13,28771238
GNE	0,016251235	2,858787554
NOP58	0,053497505	13,28771238
SLC16A3	0,228856866	2,124716519
F3	0,227784714	1,257142928
CSNK2A2	0,006025929	2,70333524
RPS12	4,78E-05	13,28771238
CNTFR	0,096863427	0,95415336
HBG2	0,750809166	0,856638174
GPNMB	0,402956549	1,344267667
LPP	0,260742436	0,470381614
MYO15B	0,99557771	0,325436588
ATG3	0,276216606	0,922344396
TES	0,048592148	2,848434446
DYNC1LI1	0,003440716	3,584752995
TSPAN9	0,664678561	0,257965439
ATG7	0,001655459	13,28771238
MT-CO3	0,125105267	1,652226663
CD46	0,071076784	2,147154977
RPL35	0,002785929	1,782058786
DSC1	0,145757674	2,118541929
PTP4A2	0,097448614	0,746561393
UBE2V1	0,868250281	0,822685103
C16orf89	0,141703075	13,28771238
ACAD11	0,221574041	1,77330381
TPCN2	0,007589124	13,28771238
NDUFB8	0,055047164	13,28771238
MB	0,023737673	13,28771238
ITGB8	0,643736401	0,583804298
THBS4	0,001904848	13,28771238
FDFT1	0,250821772	13,28771238
INPP1	0,000105208	13,28771238
GNMT	0,003755233	13,28771238
RSU1	0,036812179	13,28771238
MAPRE1	0,403475858	1,134483971
TTC39B	0,002060742	13,28771238
CYS1	0,25619371	1,35707959
LPCAT2	0,212174157	1,660705576
FAM84B	0,527119891	1,43428721
SFXN3	0,221063156	1,252320667
UACA	0,057194486	2,18620856
MAGT1	0,83565127	0,217527839
HAO2	0,17421293	1,282252505
STK26	0,508492385	0,991420302
RRBP1	0,039963777	3,417706636
ACOT9	0,9389371	0,691597359
MYO1G	0,108303664	13,28771238
KPNA4	0,000233269	13,28771238
CKMT2	0,911493312	0,005020885
FPR1	0,129367595	13,28771238
SQSTM1	0,360041573	0,801913759
SLC27A4	0,541068806	1,549052449
RDH10	0,634495241	0,475087843
ARHGAP35	0,755861453	0,611544262
DHCR7	0,763537577	0,606744541
SWAP70	0,297596965	1,608591417
PPM1H	0,858799533	0,757381451
NUP155	0,364687879	2,215430548
NDUFB4	0,112520836	1,033680256
MYZAP	0,014827703	13,28771238
IFI30	0,927939296	0,035855045
LGALS4	0,67176808	1,511717875
SUMO2	0,321389538	0,396370575
HLA-C	0,076960614	1,115706082
NCEH1	0,104371284	13,28771238
UNC5CL	0,060044511	1,511641126
PHLDA1	0,003339159	3,857135814
GDF15	0,221944743	1,217553243
WDR77	0,102685479	1,122111854
RACGAP1	0,136728923	1,839466578
TBC1D24	0,384879785	2,011884592
TTC26	0,076652695	3,889887566
ESPN	0,031652933	4,96032753
ITGA2B	0,416786018	13,28771238
IGHV1-2	0,003278807	13,28771238
VAV2	0,741117647	0,281902979
DRG2	0,002313301	13,28771238
OLR1	0,605989602	0,325179481
PDXDC1	0,853009045	0,726362127
BARGIN	0,004810049	13,28771238
KIF21A	0,182214824	1,745870466
TMEM179B	0,001230507	13,28771238
ABCA13	0,002509261	1,814374881
LGI2	0,023696588	13,28771238
RIT1	0,017305214	13,28771238
LHPP	0,462849133	0,753514508
GPHN	0,347301632	1,554333509
HECTD1	0,016924736	13,28771238
VPS9D1	0,508138725	0,311928709
IGHV3-64D	0,123696019	3,497862746
CDIPT	0,104371287	13,28771238
SLC34A2	0,104371286	13,28771238
EGFR	0,279682413	0,314418924
LGALS1	0,000105147	13,28771238
GNAZ	0,122622237	1,35337128
MAP2K3	0,070951498	13,28771238
HGSNAT	0,150957438	2,29322796
AACS	0,037733852	2,171943437
COPG2	0,000894726	13,28771238
PPP6C	0,042633006	1,903904588
LAMTOR5	0,809868765	0,123817525
TMEM50A	0,308081068	1,986802857
PLA2G4B	0,003773096	13,28771238
SPRR2A	0,000998813	13,28771238
ACAP2	0,169835576	2,289271069
LACTB2	0,346399895	1,818434645
GOLM1	0,633666968	0,195864042
PSMF1	0,552190908	0,449364408
VPS33A	0,524051629	0,688639421
FAHD2A	0,842398864	0,757157845
AIF1L	0,003556995	13,28771238
WWP1	0,656380119	0,244699262
SRP68	0,054993586	2,205281834
NUDT5	0,575081225	2,405566095
IGLL1	0,015890477	3,274763077
UBTF	0,034303771	2,393836005
EMD	0,579045516	0,56611915
EFTUD2	0,744651117	1,463129084
IBA57	4,58E-05	13,28771238
TMC5	0,172914958	1,081257786
SLC35F2	0,877928216	0,639197612
PHACTR4	0,382296127	0,814530546
ZNRF2	0,015890474	3,686522705
TMX4	0,836330353	0,404107098
PLSCR3	0,615668769	0,113662703
TRRAP	0,68191047	0,490474271
USH1C	0,695741342	1,10390317
IGKV3D-15	0,410714017	1,132610549
DUSP14	0,142193609	1,210062024
SHBG	0,029178762	13,28771238
CTSL	0,000176912	13,28771238
ME2	0,858987239	0,714917121
TSFM	0,221330813	13,28771238
SERPINB8	0,000202415	13,28771238
ARG2	0,024706767	13,28771238
CBR4	0,861905509	0,199955457
FAM45A	0,003586606	13,28771238
C4orf36	0,075703298	1,072904633
NECTIN4	0,455151285	1,297587055
SIRT5	0,587583973	1,173430329
ICK	0,542529238	1,085794502
HIST1H1C	0,355609335	2,460536465
IGFBP6	0,746826291	0,207591476
SLC36A1	0,39097623	0,631244256
ZADH2	0,012808818	3,393155678
SLC30A7	0,019278836	3,658442419
ISOC2	0,567238995	0,211424675
DHTKD1	0,690748088	0,776456795
CACYBP	0,824747358	0,211167282
CNIH4	0,065074757	1,373991059
BAG5	0,071511317	1,825531874
BCS1L	0,516578525	0,533627448
DRG1	0,181747109	1,512591165
SLC12A7	0,677184227	1,557262473
SMIM22	0,003739212	13,28771238
MRAS	0,072905662	2,684317507
HSPA1L	0,154602626	13,28771238
RPL34	0,008299412	3,487035356
FGL1	0,000366987	13,28771238
LRMP	0,12410997	1,808868189
CKAP5	0,546361661	0,514701416
COPS6	0,639724511	0,481253262
CCDC47	0,116711489	0,94516489
FERMT1	0,366551901	0,685938323
DERL1	0,239538561	2,926363107
PADI2	0,416786129	13,28771238
OAS3	0,35519464	1,502467465
KRT79	0,745875288	1,963557634
UBL3	0,009824361	3,240632972
OAS1	0,698331423	0,167783062
ICAM3	0,051311035	13,28771238
S100A12	0,010796609	13,28771238
PAK1	0,257896923	1,590401338
STIM1	0,672505356	0,082277696
SCRIB	0,916472762	0,256152365
AFMID	0,29623033	1,131922095
RALGAPB	0,341774126	1,547985286
VKORC1L1	0,049016158	2,572682413
DHRS1	0,024866358	3,373173855
C12orf10	0,432414784	1,140848279
SLC2A8	0,017410145	13,28771238
IFT80	0,005045264	4,077547121
TM7SF2	0,347956429	0,656692095
RAB4A	0,03478902	13,28771238
COMP	0,200746741	3,590628319
PPP5C	0,267621823	1,15810011
NDUFA6	0,00061	13,28771238
RPL30	0,000474561	13,28771238
AGK	0,168721937	1,024351611
SNX30	0,652533197	1,575759538
DHRS7B	0,386045878	1,759818854
ASRGL1	0,005965144	3,176373055
ADGRG2	0,15685702	13,28771238
WIPF2	0,056808294	1,679803056
STAM	0,885232152	0,253832294
PTGES2	0,511646335	1,203151974
TBC1D17	0,322924069	1,34049879
CTDSPL	0,496830462	1,916637472
DDX58	0,257146456	0,711328234
PVR	0,122729156	2,698230882
SYT1	0,353595129	0,96054541
ARFIP1	0,084735769	1,699284215
MVD	0,577433646	0,070035762
BST2	0,231910621	2,332007477
SMAD1	0,653244748	0,419055247
MSMO1	0,768140396	0,445782142
CPAMD8	0,001970338	4,098232319
ATP6V1G3	0,566799555	0,664994264
CSNK1G1	0,199974135	1,04329427
USP24	0,820688228	0,483454021
RABGAP1	0,136670431	2,003721854
IGLV7-46	0,046699801	13,28771238
UQCRQ	0,004643019	13,28771238
EIF2S2	0,00635736	3,464091955
SPRR1B	0,000513163	13,28771238
GSK3A	0,022504187	2,571725582
TGFBI	0,055384301	3,72408439
LTB4R	0,958119873	0,294252155
POTEE	0,00767418	13,28771238
PNPT1	0,881409011	0,203897814
MYO3B	0,330972085	4,226443892
HVCN1	0,70826713	0,263833829
GFM1	0,024206143	13,28771238
TMEM165	0,819714094	0,030206679
ATP13A1	0,077843745	1,761463627
FAT2	0,810061056	0,555627555
HSPB11	0,15959258	13,28771238
COX5B	0,179294438	0,643099716
C5AR1	0,084563716	13,28771238
NUDT2	0,032953522	2,289103446
ATP1B3	0,348613417	2,739304264
ELOC	0,012049436	2,733092267
MPP7	0,432527226	0,342842954
APOOL	0,111001977	13,28771238
CARM1	0,764490697	0,340934338
CRYBG2	0,960186795	0,06720753
SLC43A2	0,124328127	13,28771238
PLEKHF1	0,699775664	0,072799376
MIPEP	0,052607505	2,641608828
ATP13A3	0,057431842	1,238705719
SLC6A20	0,160497123	3,27775815
SNX12	0,001437469	13,28771238
TPST2	0,354862549	1,260902847
CIAO1	0,174600672	1,386389963
SLIT2	0,597797164	2,114048541
VWF	0,712428395	2,775822711
STC1	0,779888703	0,053525089
SMAD3	0,001870347	13,28771238
STK38	0,007486275	13,28771238
NDUFA5	0,017352514	2,222571161
SOWAHC	0,023839086	3,249873253
HERC4	0,211861542	0,150753768
HP1BP3	0,28477417	0,938467777
MRGPRF	0,002132298	13,28771238
TBCB	0,861049975	0,050047486
OMD	0,451579406	1,833917163
DUSP23	0,003665716	13,28771238
NFS1	0,964641901	1,15015362
SHTN1	0,167870922	2,093892366
HLA-DRB1	0,017120756	1,724741775
MANBA	0,040270088	13,28771238
TAX1BP3	0,179881414	0,605353961
KATNA1	0,111001994	13,28771238
FCGR3A	0,842399186	0,089259432
PYGM	0,937204056	0,185042701
NAT1	0,197312932	2,246285562
PRKACG	0,022416688	3,926437074
SHC1	0,257896873	1,885122038
LIMS1	0,127027201	1,359693271
CARS	0,574977222	0,066067489
UBE2D3	0,113780859	1,846575119
RPL27	0,004297996	13,28771238
FKBP1A	0,487061068	0,446158344
MUC5AC	0,642396469	1,65092374
DLG1	0,514411346	0,980282524
ADAM9	0,039695502	13,28771238
GAPVD1	0,071824318	1,880788665
UAP1	0,036170267	3,039090032
STXBP5	0,247577048	1,327756848
TBC1D15	0,782132244	0,245709616
ARHGEF1	0,266884906	0,919228465
PSMB7	0,351422081	2,264322857
CLMP	0,654790506	1,059733827
EXTL2	0,30672453	0,300629819
SARDH	0,065979883	1,908838152
PRPF19	0,026007607	13,28771238
EEF1E1	0,015365721	13,28771238
CUTA	0,02248627	13,28771238
CLUH	0,039178961	13,28771238
CSDE1	0,285873904	0,95819658
IGKV1-17	0,06583386	1,917294092
HLA-DPA1	0,355609431	1,3901531
DGKA	0,696097215	1,151472035
UGT2B15	0,683172967	0,564943758
SNRPD3	0,126371491	0,694057614
RPL32	0,00025575	13,28771238
RELA	0,002833498	13,28771238
ILF3	0,080417348	13,28771238
MBLAC2	0,770272655	0,525368844
TSPAN14	0,000843568	13,28771238
MRPS27	0,015547479	13,28771238
FAF2	0,124714849	2,150680882
OSBPL9	0,12498195	2,389320129
STAP2	0,015603973	13,28771238
GOLT1B	0,018573683	4,171731355
IGKV3D-20	0,476588581	0,12053022
IGHV4-28	0,332251899	1,714860903
MATN2	0,686221589	6,393467382
GAK	0,037332053	13,28771238
PDPK1	0,069414647	13,28771238
C1QA	0,835337985	0,245291039
CA3	0,655657081	0,425755467
COL1A2	0,714897354	1,353415107
HSD17B2	1	0
AP1S1	0,006014496	2,148623665
CAMK1	0,475719148	0,654948267
SLC39A14	0,379717606	13,28771238
WDR44	0,058270092	2,697665226
SLC37A2	0,01126986	13,28771238
FAM3D	0,141244859	2,624138768
TEKT3	0,690215536	5,493309556
IQCN	0,273232372	6,97175032
EIF2B4	0,715090432	0,005287304
PADI3	0,641702521	0,368874331
NUDC	0,998904543	0,77266237
ST3GAL6	0,502142335	0,636081839
ENTPD2	0,196763185	3,418604583
CNOT1	0,106614174	2,497285479
RNF40	0,139138434	0,967212105
MTX2	0,511199159	0,843380631
SCO1	0,033118189	13,28771238
LCK	0,078078291	0,505615523
DNAJB2	0,202863945	0,848889603
DPP6	0,197753593	1,5388061
PSMD4	0,134762403	1,210080465
SET	0,89813699	0,582512979
PLCB3	0,329384899	0,526363611
LSR	0,274103513	0,641194755
MFSD8	0,355609369	1,942956306
DEPTOR	0,677184338	0,279004544
IPO9	0,348354592	0,672051219
ITPA	0,164362305	1,455080425
PRSS22	0,114957171	2,02857106
NIF3L1	0,171254124	1,224287652
DPEP3	0,04329513	13,28771238
MYO5C	0,27830127	0,628091639
CLIC5	0,054720766	13,28771238
SLC31A2	3,61E-06	4,602525751
KIF5C	0,795146863	0,393326479
MGRN1	0,782400862	0,340910994
LYPD3	0,01218995	3,320659752
CD74	0,028148239	13,28771238
RAP2A	0,45357351	0,041191447
FDPS	0,670924834	0,178314199
RHCE	0,708208848	0,605711715
CAST	0,842399399	0,460825887
USP8	0,245632075	1,467499142
PPOX	0,023092893	13,28771238
DSC3	0,088803127	1,269995733
CHD4	1	0
CST6	0,122364141	13,28771238
DUOXA2	0,714581299	1,399341187
PYCR3	0,020044019	13,28771238
WDR81	0,909375869	0,440984959
ITPRIP	0,003514773	13,28771238
ATL2	0,136939335	2,170937514
LILRB4	0,630788285	0,132002226
PIGT	0,37274005	0,895094331
LGMN	0,005934009	3,414694088
MYBBP1A	0,513628026	1,40262441
PRSS27	0,006224861	13,28771238
ELOVL1	0,428915051	0,308545831
EPB41L5	0,01365193	1,983893545
STX8	0,397154899	0,794714321
ATP11B	0,760240482	0,821829133
IGLV8-61	0,775961249	0,546518766
ADAMDEC1	0,167726241	0,741061756
GMFG	0,007029397	13,28771238
GNG7	0,002763374	13,28771238
GNA14	0,226392316	1,132479905
PTGS1	0,953538655	0,787271445
IDUA	0,138859891	3,23424453
UBA7	0,400113526	1,11083584
AP2S1	0,008133537	2,551099798
ITGA1	0,235937039	1,936017606
MTPN	0,000344107	13,28771238
UBE2M	0,680634984	0,135093552
MRPS22	0,25082179	13,28771238
RHEB	0,897421744	0,893578304
CSPP1	0,444579225	0,473185057
TIMM50	0,050427708	13,28771238
DPY19L2	0,936339942	5,558449466
SYT9	0,165848442	1,590063082
MAIP1	0,362942416	0,708293761
TOMM40L	0,045965646	13,28771238
DDRGK1	0,011256853	3,186575981
VAMP8	0,012561965	1,93157581
ROGDI	0,792677648	0,005925549
CRTAC1	0,534313469	3,167704314
FLRT3	0,201024932	13,28771238
PMM2	0,70344637	0,225065056
SVIL	0,967283777	0,113486215
RCC1	0,58246136	0,384210955
VCAM1	0,050234326	4,471096585
IMPA1	0,403988883	1,361586758
RANBP1	0,205283369	0,872753886
CLDN10	0,355609356	1,604820676
FBLN2	0,791364538	0,127096373
MPP1	0,474952303	0,439338436
NSUN2	0,416786055	13,28771238
TMEM97	0,164362333	0,928026564
IDNK	0,032760289	13,28771238
SLC46A3	0,732944186	0,181165306
COMMD2	0,007256214	13,28771238
WDFY1	0,01453111	13,28771238
SLC34A3	0,400404618	0,6241479
UBTD2	0,183789282	1,772434586
COPS5	0,099448053	1,545023767
ISYNA1	0,918683557	0,211116177
NDUFB11	0,512006674	0,383693734
BUB3	0,022486268	13,28771238
TJP3	0,010461519	13,28771238
PKHD1	0,513628163	2,337728859
EIF2AK2	0,127817868	2,162260236
ITGAX	0,416786022	13,28771238
FPR2	0,416786072	13,28771238
RPL26	0,013015255	13,28771238
SSBP1	0,012178313	13,28771238
NAE1	0,53382817	0,502113101
PSME4	0,68163448	6,087768388
KYNU	0,088074559	2,61273379
DHX29	0,562334868	1,526283596
PRMT1	0,889523551	0,32306111
NLRC4	0,185867333	13,28771238
NPDC1	0,138574174	1,125993565
PANK4	0,007290545	13,28771238
RALY	0,297596997	0,820631051
IGLV4-69	0,043071693	2,72643062
DNASE2	0,645259788	0,03182155
RPLP2	0,824180101	0,365300798
CTSS	0,778570691	1,042355079
PLD1	0,747448003	1,198454209
SYCP1	0,109042099	13,28771238
ARHGEF16	0,006829184	13,28771238
MAMDC2	0,155373606	13,28771238
B3GNT8	0,001681852	13,28771238
AHNAK2	0,613845157	0,421214806
TBRG4	0,513628167	2,102515565
NAA15	0,673177153	0,497925998
UNC93B1	0,453573453	0,972587924
C1orf123	0,104253402	0,922358816
TNPO2	0,563221715	1,010195476
INPPL1	0,297596893	1,765266647
PIP5K1C	0,083469928	2,052765475
LAMB1	0,556572317	0,765886415
MMP2	0,678820899	6,162536253
GRK2	0,002515344	13,28771238
MARCKSL1	0,29623033	1,199874104
UBE2H	0,1715208	1,487454633
PRB3	0,194590994	13,28771238
FCHO2	0,763700695	0,449026896
ACMSD	1	0
NINJ1	0,020058826	13,28771238
PHKB	0,701609892	1,563465126
DNAJC7	0,003495241	13,28771238
UGT1A7	0,104371279	13,28771238
SMC3	0,429329901	0,481173542
TMED3	0,02286266	13,28771238
IGKV2-29	0,917700337	0,478037427
NDUFB5	0,006377648	13,28771238
PALM	0,40398895	0,142721609
MLYCD	0,84239934	0,173579455
H1F0	0,856189444	1,512666069
HCK	0,189532305	13,28771238
SPN	0,249067903	1,568641696
IGFBP3	0,972725653	0,352008438
CASP1	0,109301702	13,28771238
PPIF	0,148390809	2,164323303
CLIP1	0,863922421	0,310135232
ANP32A	0,068794422	13,28771238
RPS27	0,027752565	1,050234716
SERPINB9	0,067859473	2,390991988
SLC16A1	0,070714362	2,226045925
COG7	6,12E-05	4,034652698
RCN1	0,281961998	1,589387268
AARS2	0,431339949	0,021424385
VPS53	0,000463948	13,28771238
PACS1	0,069460729	13,28771238
TTC21B	0,152421915	0,932038093
DNAJA4	0,430671119	0,244051041
AHCYL2	0,263088221	0,91755124
RUFY1	0,071028576	2,634359685
ABHD10	0,933996504	0,421878777
BABAM2	0,385076745	1,308215942
JCAD	0,014537497	3,431519763
CTSF	0,599196372	1,744158348
UBQLN2	0,355609452	0,801386951
UCHL5	0,04941655	13,28771238
IGLV2-18	0,842399296	1,121380365
SH3BGRL	0,906490202	0,380794723
H6PD	0,762151732	1,385396136
CD97	0,221814732	13,28771238
MROH7	0,655377562	0,898430916
RETSAT	0,008820827	13,28771238
FAHD1	0,024206145	13,28771238
UXS1	0,239864002	1,863079868
STEAP2	0,111001991	13,28771238
SNX33	0,006912315	13,28771238
SAT2	0,677184276	0,641208862
USP47	0,039641053	13,28771238
PEBP4	0,522006974	1,171013418
SH2D4A	0,013693169	13,28771238
TMEM8A	0,079340097	4,168606719
ACTR10	0,016157872	2,828519155
COMMD9	0,03179589	13,28771238
KIAA1522	0,413771031	0,179568405
AMDHD2	0,123603084	13,28771238
GSTZ1	0,033119782	13,28771238
CLDN11	0,191772612	0,753963765
STK10	0,536036101	0,617371793
GCNT3	0,007525352	13,28771238
ASMTL	0,448100431	1,515429131
IGLV3-19	0,007278014	13,28771238
PTMA	0,651900544	1,879840784
ARAF	0,028448483	13,28771238
CPS1	0,172430773	1,224215726
RPL37A	0,037667575	1,415659908
RPS26	0,187433277	0,229286147
CUL4A	0,260122173	2,731890085
NHLRC3	0,187976828	3,976312308
PDPR	0,6771842	1,470698393
TMEM37	0,104371291	13,28771238
RAD50	0,13726946	1,94669624
ITPKC	0,297222645	0,651174089
MRPL37	0,506149228	0,984404919
FAM120A	0,975301528	0,441548721
HEATR5B	0,768416405	0,975739178
BZW2	0,09073564	1,976078008
RASA4	0,30586385	0,941757665
CROCC2	0,250821778	13,28771238
TK2	0,751631929	2,250379767
ZW10	0,02647488	13,28771238
PRPSAP2	0,447326418	0,866770709
MYL1	0,380744724	0,003851093
L1CAM	0,006220624	13,28771238
TSPAN7	0,153748513	3,048127968
AUH	0,165848487	2,853563609
EXOC3L4	0,7915503	0,042197697
MBOAT2	0,100467014	1,611279816
TTC7B	0,40060753	0,866769694
SH3TC1	0,004422312	13,28771238
PPP1R13L	0,141568709	1,843099396
EPHX3	0,022149851	13,28771238
FN3KRP	0,083832736	13,28771238
PRODH2	0,588923578	0,062600394
CCDC88B	0,104371288	13,28771238
KRT75	0,008711559	13,28771238
CLDN5	0,62113808	1,294725622
TLR2	0,134548252	13,28771238
CYP1A1	0,416786013	13,28771238
PAEP	0,929736668	0,958411286
CD58	0,434592435	1,689755839
NEB	0,137269447	1,187301144
HAL	0,842399106	0,917566036
PPM1F	0,010887726	13,28771238
DAP3	0,934654498	0,042686053
ADAR	0,416786052	13,28771238
CDH13	0,069414668	13,28771238
AKAP12	0,785010156	0,673406197
PMPCA	0,02680506	13,28771238
APOF	0,703446385	0,265109056
LAPTM4A	0,029255404	2,037224667
CCDC6	0,013527404	13,28771238
AMOT	0,250821807	13,28771238
TTC39A	0,069414655	13,28771238
ANGPTL8	0,002291411	13,28771238
HDDC2	0,913847112	0,608855436
LDHD	0,129121278	13,28771238
MMAA	0,118655837	1,527705505
PNKD	0,986908854	0,822412043
NEK9	0,042389493	13,28771238
PIGO	0,355609414	1,447864091
MRPL38	0,003989773	13,28771238
TRNT1	0,029510104	13,28771238
MYD88	0,046124419	13,28771238
TACO1	0,512006636	0,442924899
OSBPL10	0,142561535	2,261572366
BCL2L13	0,000951033	13,28771238
NMES1	0,044843411	1,775205472
GAN	0,080805795	2,997354654
LRRC40	0,144124396	1,491329417
RAB20	0,215400548	2,84394113
EPB41L3	0,379085794	0,906697752
LUC7L2	0,04475082	13,28771238
CYSRT1	0,463495341	0,327120134
GTPBP1	0,006287318	13,28771238
ASAP2	0,66148408	0,741583053
ENTPD3	0,457272323	1,989236499
SUN1	0,905267937	0,029038667
PLAT	0,124684554	13,28771238
SNRPB	0,049623287	13,28771238
PIP4K2A	0,255725916	1,336979254
IFIT5	0,665452188	0,31425362
BMPR2	0,230604592	1,767987597
OCIAD2	0,017831644	13,28771238
C9orf64	0,027291309	13,28771238
CPZ	0,155584865	13,28771238
DHX30	0,104371307	13,28771238
GALNT10	0,836382	0,598972503
ILDR1	0,70016485	1,483019134
CCNYL1	0,56723896	0,282861357
ANKS1A	0,076378055	13,28771238
SDHC	0,013140893	13,28771238
KCNJ15	0,889523349	0,607454806
TARS2	0,204306781	13,28771238
